City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,boju,7.3783,7.9112,33.15,48,97,4.17,NG,2024-04-08
262,qaqortoq,60.7167,-46.0333,-1.45,90,100,2.72,GL,2024-04-08
263,whitehorse,60.7161,-135.0538,1.17,74,100,6.71,CA,2024-04-08
264,kattivakkam,13.2167,80.3167,30.06,75,2,4.91,IN,2024-04-08
265,staraya mayna,54.6,48.95,12.06,93,100,4.15,RU,2024-04-08
266,mel'nikovo,56.5558,84.085,-0.42,93,58,1.72,RU,2024-04-08
267,frederico westphalen,-27.3592,-53.3944,28.4,55,34,1.76,BR,2024-04-08
268,cururupu,-1.8283,-44.8683,30.63,65,85,1.88,BR,2024-04-08
269,usinsk,65.9939,57.5281,-16.63,90,79,3.58,RU,2024-04-08
270,matthew town,20.95,-73.6667,26.96,62,50,7.12,BS,2024-04-08
271,melekeok village,7.4957,134.6367,27.31,83,75,1.54,PW,2024-04-08
272,saldanha,-33.0117,17.9442,15.37,92,100,10.49,ZA,2024-04-08
273,labuan,5.2767,115.2417,28.14,80,35,2.3,MY,2024-04-08
274,lebu,-37.6167,-73.65,17.06,82,80,1.45,CL,2024-04-08
275,byron bay,-28.65,153.6167,18.17,95,6,2.85,AU,2024-04-08
276,dorado,18.4588,-66.2677,33.22,71,12,0.45,PR,2024-04-08
277,hammerfest,70.6634,23.6821,-2.75,86,100,4.63,NO,2024-04-08
278,ayr,55.4627,-4.6339,10.73,93,100,2.57,GB,2024-04-08
279,dryden,49.7833,-92.7503,4.39,87,88,3.83,CA,2024-04-08
280,shimanovsk,52.0,127.7,-4.03,59,0,2.11,RU,2024-04-08
281,strezhevoy,60.7333,77.5889,-1.69,74,100,7.15,RU,2024-04-08
282,greenville,35.6127,-77.3663,22.85,37,0,3.09,US,2024-04-08
283,beyneu,45.3167,55.2,14.61,44,8,3.58,KZ,2024-04-08
284,klamath falls,42.2249,-121.7817,6.6,70,0,1.34,US,2024-04-08
285,ataq,14.5377,46.8319,24.94,49,86,7.06,YE,2024-04-08
286,fisterra,42.9049,-9.2629,13.19,58,10,10.93,ES,2024-04-08
287,wyoming,43.0002,-107.5009,0.82,72,100,4.44,US,2024-04-08
288,veselyy,47.0934,40.7422,15.59,55,37,2.86,RU,2024-04-08
